Date,Total Value,Cash,Holdings Value
2025-04-23,140404841.35000002,4260253.350000024,136144588.0
2025-04-24,138961314.35000002,4260253.350000024,134701061.0
2025-04-25,139920904.35000002,4260253.350000024,135660651.0
2025-04-28,140189091.35000002,4260253.350000024,135928838.0
2025-04-29,141722213.35000002,4260253.350000024,137461960.0
2025-04-30,140518774.35000002,4260253.350000024,136258521.0
2025-05-02,140961856.35000002,4260253.350000024,136701603.0
2025-05-07,140956061.35000002,4260253.350000024,136695808.0
2025-05-08,140333012.35000002,4260253.350000024,136072759.0
2025-05-09,139899726.35000002,4260253.350000024,135639473.0
2025-05-12,142069450.35000002,5018053.350000024,137051397.0
2025-05-13,141922712.35000002,5018053.350000024,136904659.0
2025-05-14,142618443.35000002,5018053.350000024,137600390.0
2025-05-15,141102846.35000002,5018053.350000024,136084793.0
2025-05-16,140611790.35000002,5018053.350000024,135593737.0
2025-05-19,140048784.35000002,5018053.350000024,135030731.0
2025-05-20,139659348.35000002,5018053.350000024,134641295.0
2025-05-21,140621774.35000002,5018053.350000024,135603721.0
2025-05-22,138345102.35000002,5018053.350000024,133327049.0
2025-05-23,136926823.35000002,5018053.350000024,131908770.0
2025-05-26,139630865.35000002,5018053.350000024,134612812.0
2025-05-27,138581509.35000002,5018053.350000024,133563456.0
2025-05-28,141459271.35000002,5018053.350000024,136441218.0
2025-05-29,143544375.35000002,5018053.350000024,138526322.0
2025-05-30,142176850.35000002,5018053.350000024,137158797.0
2025-06-02,141146102.35000002,5018053.350000024,136128049.0
2025-06-04,143936295.35000002,5018053.350000024,138918242.0
2025-06-05,146415016.35000002,5018053.350000024,141396963.0
2025-06-09,150261561.35000002,5862953.350000024,144398608.0
2025-06-10,150805379.35000002,5862953.350000024,144942426.0
2025-06-11,152211714.35000002,5862953.350000024,146348761.0
2025-06-12,152020578.35000002,5862953.350000024,146157625.0
2025-06-13,150696616.35000002,5862953.350000024,144833663.0
2025-06-16,152080333.35000002,5862953.350000024,146217380.0
